emp_length,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,target,loan_to_income,credit_history_years,annual_income_missing
10.0,MORTGAGE,210000.0,Verified,9.53,,,,0,999.0,2003,2,18,7,322046,73705,0,0,,0,0,4,6,2.0,7,,0,2,17500,6,2,2,5,100.0,0,0,medical,individual,5000,36,26.77,203.51,E,E5,Feb-2018,Fully Paid,fractional,Cash,0,0.023809523809523808,15,0
1.0,MORTGAGE,83000.0,Source Verified,18.44,,,,3,14.0,2005,1,11,6,555154,39482,0,0,22.0,0,0,1,1,8.0,6,0.0,0,3,8300,7,4,3,2,63.6,0,0,debt_consolidation,individual,20000,60,15.05,476.33,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.24096385542168675,13,0
10.0,MORTGAGE,140000.0,Not Verified,13.82,,,,0,999.0,1993,2,21,12,631258,69647,0,0,,0,0,2,5,0.0,12,0.0,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,9.93,318.19,B,B2,Jan-2018,Fully Paid,whole,Cash,0,0.10714285714285714,25,0
1.0,OWN,70000.0,Source Verified,0.0,,,,0,31.0,2004,0,13,3,30400,92,0,0,,0,0,0,0,,3,0.0,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,6.08,73.1,A,A2,Jan-2018,Fully Paid,whole,Cash,0,0.03428571428571429,14,0
2.0,MORTGAGE,44000.0,Verified,24.77,,,,0,999.0,2011,8,16,9,56476,40706,0,0,,0,167,3,7,3.0,9,0.0,0,2,9500,8,6,5,0,100.0,0,0,home_improvement,individual,7200,36,14.08,246.36,C,C3,Feb-2018,Fully Paid,whole,Cash,0,0.16363636363636364,7,0
10.0,MORTGAGE,40000.0,Verified,19.44,,,,0,999.0,2000,1,26,13,38688,17445,0,1,,0,148,2,10,5.0,13,0.0,0,2,11800,18,11,8,1,100.0,0,1,debt_consolidation,individual,16000,60,25.82,477.35,E,E4,Feb-2018,Fully Paid,whole,Cash,0,0.4,18,0
3.0,RENT,51000.0,Verified,17.25,,,,0,999.0,1994,1,12,8,52441,38608,0,1,,0,0,2,7,6.0,8,0.0,0,4,20300,8,6,4,1,100.0,0,1,credit_card,individual,12000,36,15.05,416.28,C,C4,Feb-2018,Fully Paid,whole,Cash,0,0.23529411764705882,24,0
10.0,OWN,85000.0,Not Verified,26.49,,,,0,999.0,1995,0,28,20,117100,53291,0,0,,0,0,1,4,,20,0.0,0,9,70400,24,19,10,1,100.0,0,0,credit_card,individual,25000,36,6.72,768.74,A,A3,Feb-2018,Fully Paid,whole,Cash,0,0.29411764705882354,23,0
10.0,MORTGAGE,318000.0,Source Verified,8.37,,,,0,999.0,2002,9,8,7,125809,90942,0,1,,0,0,4,3,7.0,7,0.0,0,2,7100,4,3,2,0,100.0,0,1,debt_consolidation,individual,25000,60,19.03,648.93,D,D3,Jan-2018,Fully Paid,whole,Cash,0,0.07861635220125786,16,0
9.0,RENT,88000.0,Source Verified,13.04,,,,0,58.0,1998,2,41,11,39353,24021,0,0,58.0,0,0,1,4,5.0,11,0.0,0,1,3000,31,10,4,1,100.0,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Fully Paid,whole,Cash,0,0.11363636363636363,20,0
1.0,RENT,69000.0,Not Verified,27.74,,,,0,63.0,2008,5,23,16,95775,48638,0,0,,0,0,4,11,1.0,16,0.0,0,6,26500,14,12,8,0,95.7,0,0,debt_consolidation,individual,10000,36,19.42,368.69,D,D3,Feb-2018,Fully Paid,fractional,Cash,0,0.14492753623188406,10,0
10.0,MORTGAGE,130000.0,Not Verified,9.53,,,,0,999.0,1972,0,32,10,333400,21579,0,0,,0,0,1,1,,10,0.0,0,1,46900,18,7,1,6,100.0,0,0,other,individual,14000,36,6.08,426.42,A,A2,Jan-2018,Fully Paid,fractional,Cash,0,0.1076923076923077,46,0
5.0,RENT,70000.0,Not Verified,3.82,,,,0,999.0,1996,3,7,5,43000,12090,0,0,,0,0,0,3,0.0,5,0.0,0,2,43000,6,5,2,0,100.0,0,0,debt_consolidation,individual,7500,36,17.09,267.74,D,D1,Jan-2018,Charged Off,whole,Cash,1,0.10714285714285714,22,0
0.0,MORTGAGE,55000.0,Not Verified,23.88,99000.0,Not Verified,21.68,0,999.0,2007,0,22,10,50324,34535,0,0,,0,0,0,2,,10,0.0,0,4,33600,10,7,5,0,95.0,0,0,debt_consolidation,joint,20000,36,14.08,684.33,C,C3,Jan-2018,Fully Paid,whole,Cash,0,0.36363636363636365,11,0
10.0,OWN,20000.0,Source Verified,34.72,,,,0,72.0,2003,0,14,7,57045,29717,0,1,72.0,0,0,4,3,18.0,7,0.0,0,1,22800,4,3,1,0,76.9,0,1,credit_card,individual,5000,36,6.72,153.75,A,A3,Feb-2018,Fully Paid,whole,Cash,0,0.25,15,0
10.0,MORTGAGE,68000.0,Not Verified,11.22,,,,1,5.0,1997,5,34,10,324652,24577,0,0,,0,822,2,7,7.0,10,0.0,0,3,20000,22,7,4,6,85.3,0,0,other,individual,4000,36,9.93,128.94,B,B2,Jan-2018,Fully Paid,whole,Cash,0,0.058823529411764705,21,0
10.0,MORTGAGE,85000.0,Source Verified,26.03,,,,0,999.0,2003,1,33,9,233448,68818,0,0,,0,0,3,4,9.0,9,0.0,0,4,41100,11,5,5,1,100.0,0,0,credit_card,individual,30000,36,7.97,939.68,A,A5,Feb-2018,Fully Paid,whole,Cash,0,0.35294117647058826,15,0
2.0,RENT,45000.0,Not Verified,8.29,,,,0,41.0,2007,2,12,8,16100,8668,0,0,,0,1140,1,4,4.0,8,0.0,0,3,5800,9,7,4,0,83.3,0,0,credit_card,individual,11000,36,12.61,368.58,C,C1,Feb-2018,Fully Paid,fractional,Cash,0,0.24444444444444444,11,0
8.0,RENT,80000.0,Source Verified,10.72,,,,0,33.0,1998,2,20,8,29127,16679,0,0,33.0,0,0,2,7,7.0,8,0.0,0,4,10800,14,5,5,0,75.0,0,0,credit_card,individual,13000,60,21.85,357.94,D,D5,Mar-2018,Fully Paid,whole,Cash,0,0.1625,20,0
0.0,MORTGAGE,85000.0,Not Verified,13.0,,,,0,999.0,2006,4,29,13,131847,69595,0,0,,0,0,5,5,8.0,13,0.0,0,3,47800,15,7,3,2,100.0,0,0,debt_consolidation,individual,24000,36,9.93,773.63,B,B2,Feb-2018,Fully Paid,whole,Cash,0,0.2823529411764706,12,0
7.0,RENT,60000.0,Verified,16.34,,,,0,75.0,1997,1,17,9,49180,30630,0,1,75.0,0,0,1,8,4.0,8,0.0,0,3,14600,12,8,6,1,82.4,0,1,debt_consolidation,individual,13500,60,14.08,314.69,C,C3,Jan-2018,Fully Paid,whole,Cash,0,0.225,21,0
1.0,RENT,170000.0,Not Verified,12.47,,,,0,999.0,1999,0,10,3,66000,50211,0,0,,0,0,1,1,17.0,3,0.0,0,1,26000,3,2,1,0,100.0,0,0,vacation,individual,2000,36,15.05,69.38,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.011764705882352941,19,0
10.0,RENT,86000.0,Source Verified,14.26,,,,1,13.0,1978,0,26,18,50849,33189,0,0,,0,0,1,1,,18,0.0,0,5,18900,21,15,12,1,96.2,0,0,credit_card,individual,21000,36,15.05,728.49,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.2441860465116279,40,0
4.0,MORTGAGE,65000.0,Not Verified,21.62,,,,0,42.0,1999,5,29,12,208260,59248,0,0,75.0,0,0,2,9,6.0,12,0.0,0,1,7400,16,9,6,2,89.7,0,0,credit_card,individual,9500,36,10.42,308.42,B,B3,Feb-2018,Fully Paid,whole,Cash,0,0.14615384615384616,19,0
9.0,MORTGAGE,169880.0,Source Verified,20.61,,,,0,42.0,1998,3,35,15,767814,93966,0,1,69.0,0,5743,4,9,0.0,15,0.0,0,1,5200,16,8,5,7,74.3,1,0,other,individual,16000,36,16.02,562.68,C,C5,Feb-2018,Charged Off,whole,Cash,1,0.09418412997409936,20,0
10.0,MORTGAGE,200000.0,Source Verified,16.96,,,,0,999.0,1996,1,22,11,319271,162435,0,0,,0,0,4,5,8.0,11,0.0,0,6,69900,11,6,6,2,100.0,0,0,debt_consolidation,individual,30000,36,19.03,1100.14,D,D3,Jan-2018,Fully Paid,fractional,Cash,0,0.15,22,0
